number|name|form|mainType|subType|totalBaseStat|hpBaseStat|attackBaseStat|defenseBaseStat|specialAttackBaseStat|specialDefenseBaseStat|speedBaseStat|imageUrl
176|Togetic|\N|Fairy|Flying|405|55|40|85|80|105|40|https://img.pokemondb.net/sprites/sun-moon/icon/togetic.png
177|Natu|\N|Psychic|Flying|320|40|50|45|70|45|70|https://img.pokemondb.net/sprites/sun-moon/icon/natu.png
178|Xatu|\N|Psychic|Flying|470|65|75|70|95|70|95|https://img.pokemondb.net/sprites/sun-moon/icon/xatu.png
179|Mareep|\N|Electric|\N|280|55|40|40|65|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/mareep.png
180|Flaaffy|\N|Electric|\N|365|70|55|55|80|60|45|https://img.pokemondb.net/sprites/sun-moon/icon/flaaffy.png
181|Ampharos|\N|Electric|\N|510|90|75|85|115|90|55|https://img.pokemondb.net/sprites/sun-moon/icon/ampharos.png
181|Ampharos|Mega Ampharos|Electric|Dragon|610|90|95|105|165|110|45|https://img.pokemondb.net/sprites/sun-moon/icon/ampharos-mega.png
182|Bellossom|\N|Grass|\N|490|75|80|95|90|100|50|https://img.pokemondb.net/sprites/sun-moon/icon/bellossom.png
183|Marill|\N|Water|Fairy|250|70|20|50|20|50|40|https://img.pokemondb.net/sprites/sun-moon/icon/marill.png
184|Azumarill|\N|Water|Fairy|420|100|50|80|60|80|50|https://img.pokemondb.net/sprites/sun-moon/icon/azumarill.png
185|Sudowoodo|\N|Rock|\N|410|70|100|115|30|65|30|https://img.pokemondb.net/sprites/sun-moon/icon/sudowoodo.png
186|Politoed|\N|Water|\N|500|90|75|75|90|100|70|https://img.pokemondb.net/sprites/sun-moon/icon/politoed.png
187|Hoppip|\N|Grass|Flying|250|35|35|40|35|55|50|https://img.pokemondb.net/sprites/sun-moon/icon/hoppip.png
188|Skiploom|\N|Grass|Flying|340|55|45|50|45|65|80|https://img.pokemondb.net/sprites/sun-moon/icon/skiploom.png
189|Jumpluff|\N|Grass|Flying|460|75|55|70|55|95|110|https://img.pokemondb.net/sprites/sun-moon/icon/jumpluff.png
190|Aipom|\N|Normal|\N|360|55|70|55|40|55|85|https://img.pokemondb.net/sprites/sun-moon/icon/aipom.png
191|Sunkern|\N|Grass|\N|180|30|30|30|30|30|30|https://img.pokemondb.net/sprites/sun-moon/icon/sunkern.png
192|Sunflora|\N|Grass|\N|425|75|75|55|105|85|30|https://img.pokemondb.net/sprites/sun-moon/icon/sunflora.png
193|Yanma|\N|Bug|Flying|390|65|65|45|75|45|95|https://img.pokemondb.net/sprites/sun-moon/icon/yanma.png
194|Wooper|\N|Water|Ground|210|55|45|45|25|25|15|https://img.pokemondb.net/sprites/sun-moon/icon/wooper.png
195|Quagsire|\N|Water|Ground|430|95|85|85|65|65|35|https://img.pokemondb.net/sprites/sun-moon/icon/quagsire.png
196|Espeon|\N|Psychic|\N|525|65|65|60|130|95|110|https://img.pokemondb.net/sprites/sun-moon/icon/espeon.png
197|Umbreon|\N|Dark|\N|525|95|65|110|60|130|65|https://img.pokemondb.net/sprites/sun-moon/icon/umbreon.png
198|Murkrow|\N|Dark|Flying|405|60|85|42|85|42|91|https://img.pokemondb.net/sprites/sun-moon/icon/murkrow.png
199|Slowking|\N|Water|Psychic|490|95|75|80|100|110|30|https://img.pokemondb.net/sprites/sun-moon/icon/slowking.png
200|Misdreavus|\N|Ghost|\N|435|60|60|60|85|85|85|https://img.pokemondb.net/sprites/sun-moon/icon/misdreavus.png
201|Unown|\N|Psychic|\N|336|48|72|48|72|48|48|https://img.pokemondb.net/sprites/sun-moon/icon/unown.png
202|Wobbuffet|\N|Psychic|\N|405|190|33|58|33|58|33|https://img.pokemondb.net/sprites/sun-moon/icon/wobbuffet.png
203|Girafarig|\N|Normal|Psychic|455|70|80|65|90|65|85|https://img.pokemondb.net/sprites/sun-moon/icon/girafarig.png
204|Pineco|\N|Bug|\N|290|50|65|90|35|35|15|https://img.pokemondb.net/sprites/sun-moon/icon/pineco.png
205|Forretress|\N|Bug|Steel|465|75|90|140|60|60|40|https://img.pokemondb.net/sprites/sun-moon/icon/forretress.png
206|Dunsparce|\N|Normal|\N|415|100|70|70|65|65|45|https://img.pokemondb.net/sprites/sun-moon/icon/dunsparce.png
207|Gligar|\N|Ground|Flying|430|65|75|105|35|65|85|https://img.pokemondb.net/sprites/sun-moon/icon/gligar.png
208|Steelix|\N|Steel|Ground|510|75|85|200|55|65|30|https://img.pokemondb.net/sprites/sun-moon/icon/steelix.png
208|Steelix|Mega Steelix|Steel|Ground|610|75|125|230|55|95|30|https://img.pokemondb.net/sprites/sun-moon/icon/steelix-mega.png
209|Snubbull|\N|Fairy|\N|300|60|80|50|40|40|30|https://img.pokemondb.net/sprites/sun-moon/icon/snubbull.png
210|Granbull|\N|Fairy|\N|450|90|120|75|60|60|45|https://img.pokemondb.net/sprites/sun-moon/icon/granbull.png
211|Qwilfish|\N|Water|Poison|440|65|95|85|55|55|85|https://img.pokemondb.net/sprites/sun-moon/icon/qwilfish.png
212|Scizor|\N|Bug|Steel|500|70|130|100|55|80|65|https://img.pokemondb.net/sprites/sun-moon/icon/scizor.png
212|Scizor|Mega Scizor|Bug|Steel|600|70|150|140|65|100|75|https://img.pokemondb.net/sprites/sun-moon/icon/scizor-mega.png
213|Shuckle|\N|Bug|Rock|505|20|10|230|10|230|5|https://img.pokemondb.net/sprites/sun-moon/icon/shuckle.png
214|Heracross|\N|Bug|Fighting|500|80|125|75|40|95|85|https://img.pokemondb.net/sprites/sun-moon/icon/heracross.png
214|Heracross|Mega Heracross|Bug|Fighting|600|80|185|115|40|105|75|https://img.pokemondb.net/sprites/sun-moon/icon/heracross-mega.png
215|Sneasel|\N|Dark|Ice|430|55|95|55|35|75|115|https://img.pokemondb.net/sprites/sun-moon/icon/sneasel.png
216|Teddiursa|\N|Normal|\N|330|60|80|50|50|50|40|https://img.pokemondb.net/sprites/sun-moon/icon/teddiursa.png
217|Ursaring|\N|Normal|\N|500|90|130|75|75|75|55|https://img.pokemondb.net/sprites/sun-moon/icon/ursaring.png
218|Slugma|\N|Fire|\N|250|40|40|40|70|40|20|https://img.pokemondb.net/sprites/sun-moon/icon/slugma.png
219|Magcargo|\N|Fire|Rock|430|60|50|120|90|80|30|https://img.pokemondb.net/sprites/sun-moon/icon/magcargo.png
220|Swinub|\N|Ice|Ground|250|50|50|40|30|30|50|https://img.pokemondb.net/sprites/sun-moon/icon/swinub.png
221|Piloswine|\N|Ice|Ground|450|100|100|80|60|60|50|https://img.pokemondb.net/sprites/sun-moon/icon/piloswine.png
222|Corsola|\N|Water|Rock|410|65|55|95|65|95|35|https://img.pokemondb.net/sprites/sun-moon/icon/corsola.png
223|Remoraid|\N|Water|\N|300|35|65|35|65|35|65|https://img.pokemondb.net/sprites/sun-moon/icon/remoraid.png
224|Octillery|\N|Water|\N|480|75|105|75|105|75|45|https://img.pokemondb.net/sprites/sun-moon/icon/octillery.png
225|Delibird|\N|Ice|Flying|330|45|55|45|65|45|75|https://img.pokemondb.net/sprites/sun-moon/icon/delibird.png
226|Mantine|\N|Water|Flying|485|85|40|70|80|140|70|https://img.pokemondb.net/sprites/sun-moon/icon/mantine.png
227|Skarmory|\N|Steel|Flying|465|65|80|140|40|70|70|https://img.pokemondb.net/sprites/sun-moon/icon/skarmory.png
228|Houndour|\N|Dark|Fire|330|45|60|30|80|50|65|https://img.pokemondb.net/sprites/sun-moon/icon/houndour.png
229|Houndoom|\N|Dark|Fire|500|75|90|50|110|80|95|https://img.pokemondb.net/sprites/sun-moon/icon/houndoom.png
229|Houndoom|Mega Houndoom|Dark|Fire|600|75|90|90|140|90|115|https://img.pokemondb.net/sprites/sun-moon/icon/houndoom-mega.png
230|Kingdra|\N|Water|Dragon|540|75|95|95|95|95|85|https://img.pokemondb.net/sprites/sun-moon/icon/kingdra.png
231|Phanpy|\N|Ground|\N|330|90|60|60|40|40|40|https://img.pokemondb.net/sprites/sun-moon/icon/phanpy.png
232|Donphan|\N|Ground|\N|500|90|120|120|60|60|50|https://img.pokemondb.net/sprites/sun-moon/icon/donphan.png
233|Porygon2|\N|Normal|\N|515|85|80|90|105|95|60|https://img.pokemondb.net/sprites/sun-moon/icon/porygon2.png
234|Stantler|\N|Normal|\N|465|73|95|62|85|65|85|https://img.pokemondb.net/sprites/sun-moon/icon/stantler.png
235|Smeargle|\N|Normal|\N|250|55|20|35|20|45|75|https://img.pokemondb.net/sprites/sun-moon/icon/smeargle.png
236|Tyrogue|\N|Fighting|\N|210|35|35|35|35|35|35|https://img.pokemondb.net/sprites/sun-moon/icon/tyrogue.png
237|Hitmontop|\N|Fighting|\N|455|50|95|95|35|110|70|https://img.pokemondb.net/sprites/sun-moon/icon/hitmontop.png
238|Smoochum|\N|Ice|Psychic|305|45|30|15|85|65|65|https://img.pokemondb.net/sprites/sun-moon/icon/smoochum.png
239|Elekid|\N|Electric|\N|360|45|63|37|65|55|95|https://img.pokemondb.net/sprites/sun-moon/icon/elekid.png
240|Magby|\N|Fire|\N|365|45|75|37|70|55|83|https://img.pokemondb.net/sprites/sun-moon/icon/magby.png
241|Miltank|\N|Normal|\N|490|95|80|105|40|70|100|https://img.pokemondb.net/sprites/sun-moon/icon/miltank.png
242|Blissey|\N|Normal|\N|540|255|10|10|75|135|55|https://img.pokemondb.net/sprites/sun-moon/icon/blissey.png
243|Raikou|\N|Electric|\N|580|90|85|75|115|100|115|https://img.pokemondb.net/sprites/sun-moon/icon/raikou.png
244|Entei|\N|Fire|\N|580|115|115|85|90|75|100|https://img.pokemondb.net/sprites/sun-moon/icon/entei.png
245|Suicune|\N|Water|\N|580|100|75|115|90|115|85|https://img.pokemondb.net/sprites/sun-moon/icon/suicune.png
246|Larvitar|\N|Rock|Ground|300|50|64|50|45|50|41|https://img.pokemondb.net/sprites/sun-moon/icon/larvitar.png
247|Pupitar|\N|Rock|Ground|410|70|84|70|65|70|51|https://img.pokemondb.net/sprites/sun-moon/icon/pupitar.png
248|Tyranitar|\N|Rock|Dark|600|100|134|110|95|100|61|https://img.pokemondb.net/sprites/sun-moon/icon/tyranitar.png
248|Tyranitar|Mega Tyranitar|Rock|Dark|700|100|164|150|95|120|71|https://img.pokemondb.net/sprites/sun-moon/icon/tyranitar-mega.png
249|Lugia|\N|Psychic|Flying|680|106|90|130|90|154|110|https://img.pokemondb.net/sprites/sun-moon/icon/lugia.png
250|Ho-oh|\N|Fire|Flying|680|106|130|90|110|154|90|https://img.pokemondb.net/sprites/sun-moon/icon/ho-oh.png
251|Celebi|\N|Psychic|Grass|600|100|100|100|100|100|100|https://img.pokemondb.net/sprites/sun-moon/icon/celebi.png
252|Treecko|\N|Grass|\N|310|40|45|35|65|55|70|https://img.pokemondb.net/sprites/sun-moon/icon/treecko.png
253|Grovyle|\N|Grass|\N|405|50|65|45|85|65|95|https://img.pokemondb.net/sprites/sun-moon/icon/grovyle.png
254|Sceptile|\N|Grass|\N|530|70|85|65|105|85|120|https://img.pokemondb.net/sprites/sun-moon/icon/sceptile.png
254|Sceptile|Mega Sceptile|Grass|Dragon|630|70|110|75|145|85|145|https://img.pokemondb.net/sprites/sun-moon/icon/sceptile-mega.png
255|Torchic|\N|Fire|\N|310|45|60|40|70|50|45|https://img.pokemondb.net/sprites/sun-moon/icon/torchic.png
256|Combusken|\N|Fire|Fighting|405|60|85|60|85|60|55|https://img.pokemondb.net/sprites/sun-moon/icon/combusken.png
257|Blaziken|\N|Fire|Fighting|530|80|120|70|110|70|80|https://img.pokemondb.net/sprites/sun-moon/icon/blaziken.png
257|Blaziken|Mega Blaziken|Fire|Fighting|630|80|160|80|130|80|100|https://img.pokemondb.net/sprites/sun-moon/icon/blaziken-mega.png
258|Mudkip|\N|Water|\N|310|50|70|50|50|50|40|https://img.pokemondb.net/sprites/sun-moon/icon/mudkip.png
259|Marshtomp|\N|Water|Ground|405|70|85|70|60|70|50|https://img.pokemondb.net/sprites/sun-moon/icon/marshtomp.png
260|Swampert|\N|Water|Ground|535|100|110|90|85|90|60|https://img.pokemondb.net/sprites/sun-moon/icon/swampert.png
260|Swampert|Mega Swampert|Water|Ground|635|100|150|110|95|110|70|https://img.pokemondb.net/sprites/sun-moon/icon/swampert-mega.png
261|Poochyena|\N|Dark|\N|220|35|55|35|30|30|35|https://img.pokemondb.net/sprites/sun-moon/icon/poochyena.png
262|Mightyena|\N|Dark|\N|420|70|90|70|60|60|70|https://img.pokemondb.net/sprites/sun-moon/icon/mightyena.png
263|Zigzagoon|\N|Normal|\N|240|38|30|41|30|41|60|https://img.pokemondb.net/sprites/sun-moon/icon/zigzagoon.png
264|Linoone|\N|Normal|\N|420|78|70|61|50|61|100|https://img.pokemondb.net/sprites/sun-moon/icon/linoone.png
265|Wurmple|\N|Bug|\N|195|45|45|35|20|30|20|https://img.pokemondb.net/sprites/sun-moon/icon/wurmple.png
266|Silcoon|\N|Bug|\N|205|50|35|55|25|25|15|https://img.pokemondb.net/sprites/sun-moon/icon/silcoon.png
267|Beautifly|\N|Bug|Flying|395|60|70|50|100|50|65|https://img.pokemondb.net/sprites/sun-moon/icon/beautifly.png
268|Cascoon|\N|Bug|\N|205|50|35|55|25|25|15|https://img.pokemondb.net/sprites/sun-moon/icon/cascoon.png
269|Dustox|\N|Bug|Poison|385|60|50|70|50|90|65|https://img.pokemondb.net/sprites/sun-moon/icon/dustox.png
270|Lotad|\N|Water|Grass|220|40|30|30|40|50|30|https://img.pokemondb.net/sprites/sun-moon/icon/lotad.png
271|Lombre|\N|Water|Grass|340|60|50|50|60|70|50|https://img.pokemondb.net/sprites/sun-moon/icon/lombre.png
272|Ludicolo|\N|Water|Grass|480|80|70|70|90|100|70|https://img.pokemondb.net/sprites/sun-moon/icon/ludicolo.png
273|Seedot|\N|Grass|\N|220|40|40|50|30|30|30|https://img.pokemondb.net/sprites/sun-moon/icon/seedot.png
274|Nuzleaf|\N|Grass|Dark|340|70|70|40|60|40|60|https://img.pokemondb.net/sprites/sun-moon/icon/nuzleaf.png
275|Shiftry|\N|Grass|Dark|480|90|100|60|90|60|80|https://img.pokemondb.net/sprites/sun-moon/icon/shiftry.png
276|Taillow|\N|Normal|Flying|270|40|55|30|30|30|85|https://img.pokemondb.net/sprites/sun-moon/icon/taillow.png
277|Swellow|\N|Normal|Flying|455|60|85|60|75|50|125|https://img.pokemondb.net/sprites/sun-moon/icon/swellow.png
278|Wingull|\N|Water|Flying|270|40|30|30|55|30|85|https://img.pokemondb.net/sprites/sun-moon/icon/wingull.png
279|Pelipper|\N|Water|Flying|440|60|50|100|95|70|65|https://img.pokemondb.net/sprites/sun-moon/icon/pelipper.png
280|Ralts|\N|Psychic|Fairy|198|28|25|25|45|35|40|https://img.pokemondb.net/sprites/sun-moon/icon/ralts.png
281|Kirlia|\N|Psychic|Fairy|278|38|35|35|65|55|50|https://img.pokemondb.net/sprites/sun-moon/icon/kirlia.png
282|Gardevoir|\N|Psychic|Fairy|518|68|65|65|125|115|80|https://img.pokemondb.net/sprites/sun-moon/icon/gardevoir.png
282|Gardevoir|Mega Gardevoir|Psychic|Fairy|618|68|85|65|165|135|100|https://img.pokemondb.net/sprites/sun-moon/icon/gardevoir-mega.png
283|Surskit|\N|Bug|Water|269|40|30|32|50|52|65|https://img.pokemondb.net/sprites/sun-moon/icon/surskit.png
284|Masquerain|\N|Bug|Flying|454|70|60|62|100|82|80|https://img.pokemondb.net/sprites/sun-moon/icon/masquerain.png
285|Shroomish|\N|Grass|\N|295|60|40|60|40|60|35|https://img.pokemondb.net/sprites/sun-moon/icon/shroomish.png
286|Breloom|\N|Grass|Fighting|460|60|130|80|60|60|70|https://img.pokemondb.net/sprites/sun-moon/icon/breloom.png
287|Slakoth|\N|Normal|\N|280|60|60|60|35|35|30|https://img.pokemondb.net/sprites/sun-moon/icon/slakoth.png
288|Vigoroth|\N|Normal|\N|440|80|80|80|55|55|90|https://img.pokemondb.net/sprites/sun-moon/icon/vigoroth.png
289|Slaking|\N|Normal|\N|670|150|160|100|95|65|100|https://img.pokemondb.net/sprites/sun-moon/icon/slaking.png
290|Nincada|\N|Bug|Ground|266|31|45|90|30|30|40|https://img.pokemondb.net/sprites/sun-moon/icon/nincada.png
291|Ninjask|\N|Bug|Flying|456|61|90|45|50|50|160|https://img.pokemondb.net/sprites/sun-moon/icon/ninjask.png
292|Shedinja|\N|Bug|Ghost|236|1|90|45|30|30|40|https://img.pokemondb.net/sprites/sun-moon/icon/shedinja.png
293|Whismur|\N|Normal|\N|240|64|51|23|51|23|28|https://img.pokemondb.net/sprites/sun-moon/icon/whismur.png
294|Loudred|\N|Normal|\N|360|84|71|43|71|43|48|https://img.pokemondb.net/sprites/sun-moon/icon/loudred.png
295|Exploud|\N|Normal|\N|490|104|91|63|91|73|68|https://img.pokemondb.net/sprites/sun-moon/icon/exploud.png
296|Makuhita|\N|Fighting|\N|237|72|60|30|20|30|25|https://img.pokemondb.net/sprites/sun-moon/icon/makuhita.png
297|Hariyama|\N|Fighting|\N|474|144|120|60|40|60|50|https://img.pokemondb.net/sprites/sun-moon/icon/hariyama.png
298|Azurill|\N|Normal|Fairy|190|50|20|40|20|40|20|https://img.pokemondb.net/sprites/sun-moon/icon/azurill.png
299|Nosepass|\N|Rock|\N|375|30|45|135|45|90|30|https://img.pokemondb.net/sprites/sun-moon/icon/nosepass.png
300|Skitty|\N|Normal|\N|260|50|45|45|35|35|50|https://img.pokemondb.net/sprites/sun-moon/icon/skitty.png
301|Delcatty|\N|Normal|\N|400|70|65|65|55|55|90|https://img.pokemondb.net/sprites/sun-moon/icon/delcatty.png
302|Sableye|\N|Dark|Ghost|380|50|75|75|65|65|50|https://img.pokemondb.net/sprites/sun-moon/icon/sableye.png
302|Sableye|Mega Sableye|Dark|Ghost|480|50|85|125|85|115|20|https://img.pokemondb.net/sprites/sun-moon/icon/sableye-mega.png
303|Mawile|\N|Steel|Fairy|380|50|85|85|55|55|50|https://img.pokemondb.net/sprites/sun-moon/icon/mawile.png
303|Mawile|Mega Mawile|Steel|Fairy|480|50|105|125|55|95|50|https://img.pokemondb.net/sprites/sun-moon/icon/mawile-mega.png
304|Aron|\N|Steel|Rock|330|50|70|100|40|40|30|https://img.pokemondb.net/sprites/sun-moon/icon/aron.png
305|Lairon|\N|Steel|Rock|430|60|90|140|50|50|40|https://img.pokemondb.net/sprites/sun-moon/icon/lairon.png
306|Aggron|\N|Steel|Rock|530|70|110|180|60|60|50|https://img.pokemondb.net/sprites/sun-moon/icon/aggron.png
306|Aggron|Mega Aggron|Steel|\N|630|70|140|230|60|80|50|https://img.pokemondb.net/sprites/sun-moon/icon/aggron-mega.png
307|Meditite|\N|Fighting|Psychic|280|30|40|55|40|55|60|https://img.pokemondb.net/sprites/sun-moon/icon/meditite.png
308|Medicham|\N|Fighting|Psychic|410|60|60|75|60|75|80|https://img.pokemondb.net/sprites/sun-moon/icon/medicham.png
308|Medicham|Mega Medicham|Fighting|Psychic|510|60|100|85|80|85|100|https://img.pokemondb.net/sprites/sun-moon/icon/medicham-mega.png
309|Electrike|\N|Electric|\N|295|40|45|40|65|40|65|https://img.pokemondb.net/sprites/sun-moon/icon/electrike.png
310|Manectric|\N|Electric|\N|475|70|75|60|105|60|105|https://img.pokemondb.net/sprites/sun-moon/icon/manectric.png
310|Manectric|Mega Manectric|Electric|\N|575|70|75|80|135|80|135|https://img.pokemondb.net/sprites/sun-moon/icon/manectric-mega.png
311|Plusle|\N|Electric|\N|405|60|50|40|85|75|95|https://img.pokemondb.net/sprites/sun-moon/icon/plusle.png
312|Minun|\N|Electric|\N|405|60|40|50|75|85|95|https://img.pokemondb.net/sprites/sun-moon/icon/minun.png
313|Volbeat|\N|Bug|\N|430|65|73|75|47|85|85|https://img.pokemondb.net/sprites/sun-moon/icon/volbeat.png
314|Illumise|\N|Bug|\N|430|65|47|75|73|85|85|https://img.pokemondb.net/sprites/sun-moon/icon/illumise.png
315|Roselia|\N|Grass|Poison|400|50|60|45|100|80|65|https://img.pokemondb.net/sprites/sun-moon/icon/roselia.png
316|Gulpin|\N|Poison|\N|302|70|43|53|43|53|40|https://img.pokemondb.net/sprites/sun-moon/icon/gulpin.png
317|Swalot|\N|Poison|\N|467|100|73|83|73|83|55|https://img.pokemondb.net/sprites/sun-moon/icon/swalot.png
318|Carvanha|\N|Water|Dark|305|45|90|20|65|20|65|https://img.pokemondb.net/sprites/sun-moon/icon/carvanha.png
319|Sharpedo|\N|Water|Dark|460|70|120|40|95|40|95|https://img.pokemondb.net/sprites/sun-moon/icon/sharpedo.png
319|Sharpedo|Mega Sharpedo|Water|Dark|560|70|140|70|110|65|105|https://img.pokemondb.net/sprites/sun-moon/icon/sharpedo-mega.png
320|Wailmer|\N|Water|\N|400|130|70|35|70|35|60|https://img.pokemondb.net/sprites/sun-moon/icon/wailmer.png
321|Wailord|\N|Water|\N|500|170|90|45|90|45|60|https://img.pokemondb.net/sprites/sun-moon/icon/wailord.png
322|Numel|\N|Fire|Ground|305|60|60|40|65|45|35|https://img.pokemondb.net/sprites/sun-moon/icon/numel.png
323|Camerupt|\N|Fire|Ground|460|70|100|70|105|75|40|https://img.pokemondb.net/sprites/sun-moon/icon/camerupt.png
323|Camerupt|Mega Camerupt|Fire|Ground|560|70|120|100|145|105|20|https://img.pokemondb.net/sprites/sun-moon/icon/camerupt-mega.png
324|Torkoal|\N|Fire|\N|470|70|85|140|85|70|20|https://img.pokemondb.net/sprites/sun-moon/icon/torkoal.png
325|Spoink|\N|Psychic|\N|330|60|25|35|70|80|60|https://img.pokemondb.net/sprites/sun-moon/icon/spoink.png
326|Grumpig|\N|Psychic|\N|470|80|45|65|90|110|80|https://img.pokemondb.net/sprites/sun-moon/icon/grumpig.png
327|Spinda|\N|Normal|\N|360|60|60|60|60|60|60|https://img.pokemondb.net/sprites/sun-moon/icon/spinda.png
328|Trapinch|\N|Ground|\N|290|45|100|45|45|45|10|https://img.pokemondb.net/sprites/sun-moon/icon/trapinch.png
329|Vibrava|\N|Ground|Dragon|340|50|70|50|50|50|70|https://img.pokemondb.net/sprites/sun-moon/icon/vibrava.png
330|Flygon|\N|Ground|Dragon|520|80|100|80|80|80|100|https://img.pokemondb.net/sprites/sun-moon/icon/flygon.png
331|Cacnea|\N|Grass|\N|335|50|85|40|85|40|35|https://img.pokemondb.net/sprites/sun-moon/icon/cacnea.png
332|Cacturne|\N|Grass|Dark|475|70|115|60|115|60|55|https://img.pokemondb.net/sprites/sun-moon/icon/cacturne.png
333|Swablu|\N|Normal|Flying|310|45|40|60|40|75|50|https://img.pokemondb.net/sprites/sun-moon/icon/swablu.png
334|Altaria|\N|Dragon|Flying|490|75|70|90|70|105|80|https://img.pokemondb.net/sprites/sun-moon/icon/altaria.png
334|Altaria|Mega Altaria|Dragon|Fairy|590|75|110|110|110|105|80|https://img.pokemondb.net/sprites/sun-moon/icon/altaria-mega.png
335|Zangoose|\N|Normal|\N|458|73|115|60|60|60|90|https://img.pokemondb.net/sprites/sun-moon/icon/zangoose.png
336|Seviper|\N|Poison|\N|458|73|100|60|100|60|65|https://img.pokemondb.net/sprites/sun-moon/icon/seviper.png
337|Lunatone|\N|Rock|Psychic|460|90|55|65|95|85|70|https://img.pokemondb.net/sprites/sun-moon/icon/lunatone.png
338|Solrock|\N|Rock|Psychic|460|90|95|85|55|65|70|https://img.pokemondb.net/sprites/sun-moon/icon/solrock.png
339|Barboach|\N|Water|Ground|288|50|48|43|46|41|60|https://img.pokemondb.net/sprites/sun-moon/icon/barboach.png
340|Whiscash|\N|Water|Ground|468|110|78|73|76|71|60|https://img.pokemondb.net/sprites/sun-moon/icon/whiscash.png
341|Corphish|\N|Water|\N|308|43|80|65|50|35|35|https://img.pokemondb.net/sprites/sun-moon/icon/corphish.png
342|Crawdaunt|\N|Water|Dark|468|63|120|85|90|55|55|https://img.pokemondb.net/sprites/sun-moon/icon/crawdaunt.png
343|Baltoy|\N|Ground|Psychic|300|40|40|55|40|70|55|https://img.pokemondb.net/sprites/sun-moon/icon/baltoy.png
344|Claydol|\N|Ground|Psychic|500|60|70|105|70|120|75|https://img.pokemondb.net/sprites/sun-moon/icon/claydol.png
345|Lileep|\N|Rock|Grass|355|66|41|77|61|87|23|https://img.pokemondb.net/sprites/sun-moon/icon/lileep.png
346|Cradily|\N|Rock|Grass|495|86|81|97|81|107|43|https://img.pokemondb.net/sprites/sun-moon/icon/cradily.png
347|Anorith|\N|Rock|Bug|355|45|95|50|40|50|75|https://img.pokemondb.net/sprites/sun-moon/icon/anorith.png
348|Armaldo|\N|Rock|Bug|495|75|125|100|70|80|45|https://img.pokemondb.net/sprites/sun-moon/icon/armaldo.png
349|Feebas|\N|Water|\N|200|20|15|20|10|55|80|https://img.pokemondb.net/sprites/sun-moon/icon/feebas.png
350|Milotic|\N|Water|\N|540|95|60|79|100|125|81|https://img.pokemondb.net/sprites/sun-moon/icon/milotic.png
351|Castform|\N|Normal|\N|420|70|70|70|70|70|70|https://img.pokemondb.net/sprites/sun-moon/icon/castform.png
351|Castform|Sunny Form|Fire|\N|420|70|70|70|70|70|70|https://img.pokemondb.net/s.png
351|Castform|Rainy Form|Water|\N|420|70|70|70|70|70|70|https://img.pokemondb.net/s.png
351|Castform|Snowy Form|Ice|\N|420|70|70|70|70|70|70|https://img.pokemondb.net/s.png
352|Kecleon|\N|Normal|\N|440|60|90|70|60|120|40|https://img.pokemondb.net/sprites/sun-moon/icon/kecleon.png
353|Shuppet|\N|Ghost|\N|295|44|75|35|63|33|45|https://img.pokemondb.net/sprites/sun-moon/icon/shuppet.png
354|Banette|\N|Ghost|\N|455|64|115|65|83|63|65|https://img.pokemondb.net/sprites/sun-moon/icon/banette.png
354|Banette|Mega Banette|Ghost|\N|555|64|165|75|93|83|75|https://img.pokemondb.net/sprites/sun-moon/icon/banette-mega.png
355|Duskull|\N|Ghost|\N|295|20|40|90|30|90|25|https://img.pokemondb.net/sprites/sun-moon/icon/duskull.png
356|Dusclops|\N|Ghost|\N|455|40|70|130|60|130|25|https://img.pokemondb.net/sprites/sun-moon/icon/dusclops.png
357|Tropius|\N|Grass|Flying|460|99|68|83|72|87|51|https://img.pokemondb.net/sprites/sun-moon/icon/tropius.png
358|Chimecho|\N|Psychic|\N|455|75|50|80|95|90|65|https://img.pokemondb.net/sprites/sun-moon/icon/chimecho.png
359|Absol|\N|Dark|\N|465|65|130|60|75|60|75|https://img.pokemondb.net/sprites/sun-moon/icon/absol.png
359|Absol|Mega Absol|Dark|\N|565|65|150|60|115|60|115|https://img.pokemondb.net/sprites/sun-moon/icon/absol-mega.png
360|Wynaut|\N|Psychic|\N|260|95|23|48|23|48|23|https://img.pokemondb.net/sprites/sun-moon/icon/wynaut.png
361|Snorunt|\N|Ice|\N|300|50|50|50|50|50|50|https://img.pokemondb.net/sprites/sun-moon/icon/snorunt.png
362|Glalie|\N|Ice|\N|480|80|80|80|80|80|80|https://img.pokemondb.net/sprites/sun-moon/icon/glalie.png
362|Glalie|Mega Glalie|Ice|\N|580|80|120|80|120|80|100|https://img.pokemondb.net/sprites/sun-moon/icon/glalie-mega.png
363|Spheal|\N|Ice|Water|290|70|40|50|55|50|25|https://img.pokemondb.net/sprites/sun-moon/icon/spheal.png
364|Sealeo|\N|Ice|Water|410|90|60|70|75|70|45|https://img.pokemondb.net/sprites/sun-moon/icon/sealeo.png
365|Walrein|\N|Ice|Water|530|110|80|90|95|90|65|https://img.pokemondb.net/sprites/sun-moon/icon/walrein.png
366|Clamperl|\N|Water|\N|345|35|64|85|74|55|32|https://img.pokemondb.net/sprites/sun-moon/icon/clamperl.png
367|Huntail|\N|Water|\N|485|55|104|105|94|75|52|https://img.pokemondb.net/sprites/sun-moon/icon/huntail.png
