name|type|power|accuracy|pp|effect|effectProbability
Miracle Eye|Psychic|\N|\N|40|Resets opponent's Evasiveness, removes Dark's Psychic immunity.|\N
Mirror Coat|Psychic|\N|100|20|When hit by a Special Attack, user strikes back with 2x power.|\N
Mirror Move|Flying|\N|\N|20|User performs the opponent's last move.|\N
Mirror Shot|Steel|65|85|10|May lower opponent's Accuracy.|30
Mist|Ice|\N|\N|30|User's stats cannot be changed for a period of time.|\N
Mist Ball|Psychic|70|100|5|May lower opponent's Special Attack.|50
Misty Terrain|Fairy|\N|\N|10|Protects the field from status conditions for 5 turns.|\N
Moonblast|Fairy|95|100|15|May lower opponent's Special Attack.|30
Moongeist Beam|Ghost|100|100|5|Ignores the target's ability.|\N
Moonlight|Fairy|\N|\N|5|User recovers HP. Amount varies with the weather.|\N
Morning Sun|Normal|\N|\N|5|User recovers HP. Amount varies with the weather.|\N
Mud Bomb|Ground|65|85|10|May lower opponent's Accuracy.|30
Mud Shot|Ground|55|95|15|Lowers opponent's Speed.|100
Mud Sport|Ground|\N|\N|15|Weakens the power of Electric-type moves.|\N
Mud-Slap|Ground|20|100|10|Lowers opponent's Accuracy.|100
Muddy Water|Water|90|85|10|May lower opponent's Accuracy.|30
Multi-Attack|Normal|90|100|10|Type matches user's current type.|\N
Mystical Fire|Fire|75|100|10|Lowers opponent's Special Attack.|100
Nasty Plot|Dark|\N|\N|20|Sharply raises user's Special Attack.|\N
Natural Gift|Normal|\N|100|15|Power and type depend on the user's held berry.|\N
Nature Power|Normal|\N|\N|20|Uses a certain move based on the current terrain.|\N
Nature's Madness|Fairy|\N|90|10|Halves the foe's HP.|\N
Needle Arm|Grass|60|100|15|May cause flinching.|30
Never-Ending Nightmare|Ghost|\N|\N|1|Ghost type Z-Move.|\N
Night Daze|Dark|85|95|10|May lower opponent's Accuracy.|40
Night Shade|Ghost|\N|100|15|Inflicts damage equal to user's level.|\N
Night Slash|Dark|70|100|15|High critical hit ratio.|\N
Nightmare|Ghost|\N|100|15|The sleeping opponent loses 25% of its max HP each turn.|\N
Noble Roar|Normal|\N|100|30|Lowers opponent's Attack and Special Attack.|\N
Nuzzle|Electric|20|100|20|Paralyzes opponent.|100
Oblivion Wing|Flying|80|100|10|User recovers most of the HP inflicted on opponent.|\N
Oceanic Operetta|Water|195|\N|1|Primarina-exclusive Z-Move.|\N
Octazooka|Water|65|85|10|May lower opponent's Accuracy.|50
Odor Sleuth|Normal|\N|\N|40|Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.|\N
Ominous Wind|Ghost|60|100|5|May raise all user's stats at once.|10
Origin Pulse|Water|110|85|10|Hits all adjacent opponents.|\N
Outrage|Dragon|120|100|10|User attacks for 2-3 turns but then becomes confused.|\N
Overheat|Fire|130|90|5|Sharply lowers user's Special Attack.|\N
Pain Split|Normal|\N|\N|20|The user's and opponent's HP becomes the average of both.|\N
Parabolic Charge|Electric|65|100|20|User recovers half the HP inflicted on opponent.|\N
Parting Shot|Dark|\N|100|20|Lowers opponent's Attack and Special Attack then switches out. |\N
Pay Day|Normal|40|100|20|A small amount of money is gained after the battle resolves.|\N
Payback|Dark|50|100|10|Power doubles if the user was attacked first.|\N
Peck|Flying|35|100|35|\N|\N
Perish Song|Normal|\N|\N|5|Any Pokémon in play when this attack is used faints in 3 turns.|\N
Petal Blizzard|Grass|90|100|15|Hits all adjacent Pokémon.|\N
Petal Dance|Grass|120|100|10|User attacks for 2-3 turns but then becomes confused.|\N
Phantom Force|Ghost|90|100|10|Disappears on first turn, attacks on second. Can strike through Protect/Detect.|\N
Photon Geyser|Psychic|100|100|5|Uses Attack or Special Attack stat, whichever is higher.|\N
Pika Papow|Electric|\N|∞|20|Power increases when player's bond is stronger.|\N
Pin Missile|Bug|25|95|20|Hits 2-5 times in one turn.|\N
Plasma Fists|Electric|100|100|15|Changes Normal-type moves to Electric-type moves.|\N
Play Nice|Normal|\N|\N|20|Lowers opponent's Attack. Always hits.|\N
Play Rough|Fairy|90|90|10|May lower opponent's Attack.|10
Pluck|Flying|60|100|20|If the opponent is holding a berry, its effect is stolen by user.|\N
Poison Fang|Poison|50|100|15|May badly poison opponent.|50
Poison Gas|Poison|\N|90|40|Poisons opponent.|\N
Poison Jab|Poison|80|100|20|May poison the opponent.|30
Poison Powder|Poison|\N|75|35|Poisons opponent.|\N
Poison Sting|Poison|15|100|35|May poison the opponent.|30
Poison Tail|Poison|50|100|25|High critical hit ratio. May poison opponent.|10
Pollen Puff|Bug|90|100|15|The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.|\N
Pound|Normal|40|100|35|\N|\N
Powder|Bug|\N|100|20|Damages Pokémon using Fire type moves.|\N
Powder Snow|Ice|40|100|25|May freeze opponent.|10
Power Gem|Rock|80|100|20|\N|\N
Power Split|Psychic|\N|\N|10|Averages Attack and Special Attack with the target.|\N
Power Swap|Psychic|\N|\N|10|User and opponent swap Attack and Special Attack.|\N
Power Trick|Psychic|\N|\N|10|User's own Attack and Defense switch.|\N
Power Trip|Dark|20|100|10|The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.|\N
Power Whip|Grass|120|85|10|\N|\N
Power-Up Punch|Fighting|40|100|10|Raises Attack.|100
Precipice Blades|Ground|120|85|10|Hits all adjacent opponents.|\N
Present|Normal|\N|90|15|Either deals damage or heals.|\N
Prismatic Laser|Psychic|160|100|10|The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.|\N
Protect|Normal|\N|\N|10|Protects the user, but may fail if used consecutively.|\N
Psybeam|Psychic|65|100|20|May confuse opponent.|10
Psych Up|Normal|\N|\N|10|Copies the opponent's stat changes.|\N
Psychic|Psychic|90|100|10|May lower opponent's Special Defense.|10
Psychic Fangs|Psychic|85|100|10|The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.|\N
Psychic Terrain|Psychic|\N|\N|10|Prevents priority moves from being used for 5 turns.|\N
Psycho Boost|Psychic|140|90|5|Sharply lowers user's Special Attack.|\N
Psycho Cut|Psychic|70|100|20|High critical hit ratio.|\N
Psycho Shift|Psychic|\N|90|10|Gives the opponent the user's status condition, if it hits.|\N
Psyshock|Psychic|80|100|10|Inflicts damage based on the target's Defense, not Special Defense.|\N
Psystrike|Psychic|100|100|10|Inflicts damage based on the target's Defense, not Special Defense.|\N
Psywave|Psychic|\N|80|15|Inflicts damage 50-150% of user's level.|\N
Pulverizing Pancake|Normal|210|\N|1|Snorlax-exclusive Normal type Z-Move.|\N
Punishment|Dark|\N|100|5|Power increases when opponent's stats have been raised.|\N
Purify|Poison|\N|\N|20|The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.|\N
Pursuit|Dark|40|100|20|Double power if the opponent is switching out.|\N
Quash|Dark|\N|100|15|Makes the target act last this turn.|\N
Quick Attack|Normal|40|100|30|User attacks first.|\N
Quick Guard|Fighting|\N|\N|15|Protects the user's team from high-priority moves.|\N
Quiver Dance|Bug|\N|\N|20|Raises user's Special Attack, Special Defense and Speed.|\N
Rage|Normal|20|100|20|Raises user's Attack when hit.|\N
Rage Powder|Bug|\N|\N|20|Forces attacks to hit user, not team-mates.|\N
Rain Dance|Water|\N|\N|5|Makes it rain for 5 turns.|\N
Rapid Spin|Normal|20|100|40|Removes effects of trap moves.|\N
Razor Leaf|Grass|55|95|25|High critical hit ratio.|\N
Razor Shell|Water|75|95|10|May lower opponent's Defense.|50
Razor Wind|Normal|80|100|10|Charges on first turn, attacks on second. High critical hit ratio.|\N
Recover|Normal|\N|\N|10|User recovers half its max HP.|\N
Recycle|Normal|\N|\N|10|User's used hold item is restored.|\N
Reflect|Psychic|\N|\N|20|Halves damage from Physical attacks for 5 turns.|\N
Reflect Type|Normal|\N|\N|15|User becomes the target's type.|\N
Refresh|Normal|\N|\N|20|Cures paralysis, poison, and burns.|\N
Relic Song|Normal|75|100|10|May put the target to sleep.|10
Rest|Psychic|\N|\N|10|User sleeps for 2 turns, but user is fully healed.|\N
Retaliate|Normal|70|100|5|Inflicts double damage if a teammate fainted on the last turn.|\N
Return|Normal|\N|100|20|Power increases with higher Friendship.|\N
Revelation Dance|Normal|90|100|15|Type changes based on Oricorio's form.|\N
Revenge|Fighting|60|100|10|Power increases if user was hit first.|\N
Reversal|Fighting|\N|100|15|The lower the user's HP, the higher the power.|\N
Roar|Normal|\N|\N|20|In battles, the opponent switches. In the wild, the Pokémon runs.|\N
Roar of Time|Dragon|150|90|5|User must recharge next turn.|\N
Rock Blast|Rock|25|90|10|Hits 2-5 times in one turn.|\N
Rock Climb|Normal|90|85|20|May confuse opponent.|20
Rock Polish|Rock|\N|\N|20|Sharply raises user's Speed.|\N
Rock Slide|Rock|75|90|10|May cause flinching.|30
Rock Smash|Fighting|40|100|15|May lower opponent's Defense.|50
Rock Throw|Rock|50|90|15|\N|\N
Rock Tomb|Rock|60|95|15|Lowers opponent's Speed.|100
Rock Wrecker|Rock|150|90|5|User must recharge next turn.|\N
Role Play|Psychic|\N|\N|15|User copies the opponent's Ability.|\N
Rolling Kick|Fighting|60|85|15|May cause flinching.|30
Rollout|Rock|30|90|20|Doubles in power each turn for 5 turns.|\N
Roost|Flying|\N|\N|10|User recovers half of its max HP and loses the Flying type temporarily.|\N
Rototiller|Ground|\N|\N|10|Raises Attack and Special Attack of Grass-types.|\N
Round|Normal|60|100|15|Power increases if teammates use it in the same turn.|\N
Sacred Fire|Fire|100|95|5|May burn opponent.|50
Sacred Sword|Fighting|90|100|20|Ignores opponent's stat changes.|\N
Safeguard|Normal|\N|\N|25|The user's party is protected from status conditions.|\N
Sand Attack|Ground|\N|100|15|Lowers opponent's Accuracy.|\N
Sand Tomb|Ground|35|85|15|Traps opponent, damaging them for 4-5 turns.|\N
Sandstorm|Rock|\N|\N|10|Creates a sandstorm for 5 turns.|\N
Sappy Seed|Grass|90|100|15|Drains HP from opponent each turn.|100
Savage Spin-Out|Bug|\N|\N|1|Bug type Z-Move.|\N
Scald|Water|80|100|15|May burn opponent.|30
Scary Face|Normal|\N|100|10|Sharply lowers opponent's Speed.|\N
Scratch|Normal|40|100|35|\N|\N
Screech|Normal|\N|85|40|Sharply lowers opponent's Defense.|\N
Searing Shot|Fire|100|100|5|May burn opponent.|30
Searing Sunraze Smash|Steel|200|\N|1|Solgaleo-exclusive Z-Move.|\N
Secret Power|Normal|70|100|20|Effects of the attack vary with the location.|30
Secret Sword|Fighting|85|100|10|Inflicts damage based on the target's Defense, not Special Defense.|\N
Seed Bomb|Grass|80|100|15|\N|\N
Seed Flare|Grass|120|85|5|May lower opponent's Special Defense.|40
Seismic Toss|Fighting|\N|100|20|Inflicts damage equal to user's level.|\N
Self-Destruct|Normal|200|100|5|User faints.|\N
Shadow Ball|Ghost|80|100|15|May lower opponent's Special Defense.|20
Shadow Bone|Ghost|85|100|10|The user attacks by beating the target with a bone that contains a spirit. This may also lower the target's Defense stat.|\N
Shadow Claw|Ghost|70|100|15|High critical hit ratio.|\N
Shadow Force|Ghost|120|100|5|Disappears on first turn, attacks on second. Can strike through Protect/Detect.|\N
Shadow Punch|Ghost|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Shadow Sneak|Ghost|40|100|30|User attacks first.|\N
Sharpen|Normal|\N|\N|30|Raises user's Attack.|\N
Shattered Psyche|Psychic|\N|\N|1|Psychic type Z-Move.|\N
Sheer Cold|Ice|\N|\N|5|One-Hit-KO, if it hits.|\N
Shell Smash|Normal|\N|\N|15|Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.|\N
Shell Trap|Fire|150|100|5|Deals more damage to opponent if hit by a Physical move.|\N
Shift Gear|Steel|\N|\N|10|Raises user's Attack and sharply raises Speed.|\N
Shock Wave|Electric|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Shore Up|Ground|\N|\N|10|The user regains up to half of its max HP. It restores more HP in a sandstorm.|\N
Signal Beam|Bug|75|100|15|May confuse opponent.|10
Silver Wind|Bug|60|100|5|May raise all stats of user at once.|10
Simple Beam|Normal|\N|100|15|Changes target's ability to Simple.|\N
Sing|Normal|\N|55|15|Puts opponent to sleep.|100
Sinister Arrow Raid|Ghost|180|\N|1|Decidueye-exclusive Z-Move.|\N
Sizzly Slide|Fire|90|100|15|Burns the opponent.|\N
Sketch|Normal|\N|\N|1|Permanently copies the opponent's last move.|\N
Skill Swap|Psychic|\N|\N|10|The user swaps Abilities with the opponent.|\N
Skull Bash|Normal|130|100|10|Raises Defense on first turn, attacks on second.|100
Sky Attack|Flying|140|90|5|Charges on first turn, attacks on second. May cause flinching.|30
Sky Drop|Flying|60|100|10|Takes opponent into the air on first turn, drops them on second turn.|\N
Sky Uppercut|Fighting|85|90|15|Hits the opponent, even during Fly.|\N
Slack Off|Normal|\N|\N|10|User recovers half its max HP.|\N
Slam|Normal|80|75|20|\N|\N
Slash|Normal|70|100|20|High critical hit ratio.|\N
Sleep Powder|Grass|\N|75|15|Puts opponent to sleep.|\N
Sleep Talk|Normal|\N|\N|10|User performs one of its own moves while sleeping.|\N
Sludge|Poison|65|100|20|May poison opponent.|30
Sludge Bomb|Poison|90|100|10|May poison opponent.|30
Sludge Wave|Poison|95|100|10|May poison opponent.|10
Smack Down|Rock|50|100|15|Makes Flying-type Pokémon vulnerable to Ground moves.|\N
Smart Strike|Steel|70|\N|10|The user stabs the target with a sharp horn. This attack never misses.|\N
Smelling Salts|Normal|70|100|10|Power doubles if opponent is paralyzed, but cures it.|\N
Smog|Poison|30|70|20|May poison opponent.|40
Smokescreen|Normal|\N|100|20|Lowers opponent's Accuracy.|\N
Snarl|Dark|55|95|15|Lowers opponent's Special Attack.|100
Snatch|Dark|\N|\N|10|Steals the effects of the opponent's next move.|\N
Snore|Normal|50|100|15|Can only be used if asleep. May cause flinching.|30
Soak|Water|\N|100|20|Changes the target's type to water.|\N
Soft-Boiled|Normal|\N|\N|10|User recovers half its max HP.|\N
Solar Beam|Grass|120|100|10|Charges on first turn, attacks on second.|\N
Solar Blade|Grass|125|100|10|Charges on first turn, attacks on second.|\N
Sonic Boom|Normal|\N|90|20|Always inflicts 20 HP.|\N
Soul-Stealing 7-Star Strike|Ghost|195|\N|1|Marshadow-exclusive Z-Move.|\N
Spacial Rend|Dragon|100|95|5|High critical hit ratio.|\N
Spark|Electric|65|100|20|May paralyze opponent.|30
Sparkling Aria|Water|90|100|10|Heals the burns of its target.|\N
Sparkly Swirl|Fairy|90|100|15|Cures all status problems in the party Pokémon.|\N
Spectral Thief|Ghost|90|100|10|The user hides in the target's shadow, steals the target's stat boosts, and then attacks.|\N
Speed Swap|Psychic|\N|\N|10|The user exchanges Speed stats with the target.|\N
Spider Web|Bug|\N|\N|10|Opponent cannot escape/switch.|\N
Spike Cannon|Normal|20|100|15|Hits 2-5 times in one turn.|\N
Spikes|Ground|\N|\N|20|Hurts opponents when they switch into battle.|\N
Spiky Shield|Grass|\N|\N|10|Protects the user and inflicts damage on contact.|\N
Spirit Shackle|Ghost|80|100|10|Prevents the opponent switching out.|\N
Spit Up|Normal|\N|100|10|Power depends on how many times the user performed Stockpile.|\N
Spite|Ghost|\N|100|10|The opponent's last move loses 2-5 PP.|\N
Splash|Normal|\N|\N|40|Doesn't do ANYTHING.|\N
Splintered Stormshards|Rock|190|\N|1|Lycanroc-exclusive Z-Move.|\N
Splishy Splash|Water|90|100|15|May paralyze opponent.|30
Spore|Grass|\N|100|15|Puts opponent to sleep.|100
Spotlight|Normal|\N|\N|15|The user shines a spotlight on the target so that only the target will be attacked during the turn.|\N
Stealth Rock|Rock|\N|\N|20|Damages opponent switching into battle.|\N
Steam Eruption|Water|110|95|5|May burn opponent.|30
Steamroller|Bug|65|100|20|May cause flinching.|30
Steel Wing|Steel|70|90|25|May raise user's Defense.|10
Sticky Web|Bug|\N|\N|20|Lowers opponent's Speed when switching into battle.|\N
Stockpile|Normal|\N|\N|20|Stores energy for use with Spit Up and Swallow.|\N
Stoked Sparksurfer|Electric|175|\N|1|Alolan Raichu-exclusive Electric type Z-Move.|\N
Stomp|Normal|65|100|20|May cause flinching.|30
Stomping Tantrum|Ground|75|100|10|Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.|\N
Stone Edge|Rock|100|80|5|High critical hit ratio.|\N
Stored Power|Psychic|20|100|10|Power increases when user's stats have been raised.|\N
Storm Throw|Fighting|60|100|10|Always results in a critical hit.|\N
Strength|Normal|80|100|15|\N|\N
Strength Sap|Grass|\N|100|10|The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.|\N
String Shot|Bug|\N|95|40|Sharply lowers opponent's Speed.|\N
Struggle|Normal|50|100|\N|Only usable when all PP are gone. Hurts the user.|\N
Struggle Bug|Bug|50|100|20|Lowers opponent's Special Attack.|100
Stun Spore|Grass|\N|75|30|Paralyzes opponent.|\N
Submission|Fighting|80|80|20|User receives recoil damage.|\N
Substitute|Normal|\N|\N|10|Uses HP to creates a decoy that takes hits.|\N
Subzero Slammer|Ice|\N|\N|1|Ice type Z-Move.|\N
Sucker Punch|Dark|70|100|5|User attacks first, but only works if opponent is readying an attack.|\N
Sunny Day|Fire|\N|\N|5|Makes it sunny for 5 turns.|\N
Sunsteel Strike|Steel|100|100|5|Ignores the target's ability.|\N
Super Fang|Normal|\N|90|10|Always takes off half of the opponent's HP.|\N
Superpower|Fighting|120|100|5|Lowers user's Attack and Defense.|\N
Supersonic|Normal|\N|55|20|Confuses opponent.|\N
Supersonic Skystrike|Flying|\N|\N|1|Flying type Z-Move.|\N
Surf|Water|90|100|15|Hits all adjacent Pokémon.|\N
Swagger|Normal|\N|85|15|Opponent becomes confused, but its Attack is sharply raised.|\N
Swallow|Normal|\N|\N|10|The more times the user has performed Stockpile, the more HP is recovered.|\N
Sweet Kiss|Fairy|\N|75|10|Confuses opponent.|\N
Sweet Scent|Normal|\N|\N|20|Lowers opponent's Evasiveness.|\N
Swift|Normal|60|∞|20|Ignores Accuracy and Evasiveness.|\N
Switcheroo|Dark|\N|100|15|Swaps held items with the opponent.|\N
Swords Dance|Normal|\N|\N|20|Sharply raises user's Attack.|\N
Synchronoise|Psychic|120|100|15|Hits any Pokémon that shares a type with the user.|\N
Synthesis|Grass|\N|\N|5|User recovers HP. Amount varies with the weather.|\N
Tackle|Normal|40|100|35|\N|\N
Tail Glow|Bug|\N|\N|20|Drastically raises user's Special Attack.|\N
Tail Slap|Normal|25|85|10|Hits 2-5 times in one turn.|\N
Tail Whip|Normal|\N|100|30|Lowers opponent's Defense.|\N
Tailwind|Flying|\N|\N|30|Doubles Speed for 4 turns.|\N
Take Down|Normal|90|85|20|User receives recoil damage.|\N
Taunt|Dark|\N|100|20|Opponent can only use moves that attack.|\N
Tearful Look|Normal|\N|\N|20|The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.|\N
Techno Blast|Normal|120|100|5|Type depends on the Drive being held.|\N
Tectonic Rage|Ground|\N|\N|1|Ground type Z-Move.|\N
Teeter Dance|Normal|\N|100|20|Confuses all Pokémon.|\N
Telekinesis|Psychic|\N|\N|15|Ignores opponent's Evasiveness for three turns, add Ground immunity.|\N
Teleport|Psychic|\N|\N|20|Allows user to flee wild battles; also warps player to last PokéCenter.|\N
Thief|Dark|60|100|25|Also steals opponent's held item.|\N
Thousand Arrows|Ground|90|100|10|Makes Flying-type Pokémon vulnerable to Ground moves.|\N
Thousand Waves|Ground|90|100|10|Opponent cannot flee or switch.|\N
Thrash|Normal|120|100|10|User attacks for 2-3 turns but then becomes confused.|\N
Throat Chop|Dark|80|100|15|Prevents use of sound moves for two turns.|\N
Thunder|Electric|110|70|10|May paralyze opponent.|30
Thunder Fang|Electric|65|95|15|May cause flinching and/or paralyze opponent.|10
Thunder Punch|Electric|75|100|15|May paralyze opponent.|10
Thunder Shock|Electric|40|100|30|May paralyze opponent.|10
Thunder Wave|Electric|\N|90|20|Paralyzes opponent.|100
Thunderbolt|Electric|90|100|15|May paralyze opponent.|10
Tickle|Normal|\N|100|20|Lowers opponent's Attack and Defense.|\N
Topsy-Turvy|Dark|\N|\N|20|Reverses stat changes of opponent.|\N
Torment|Dark|\N|100|15|Opponent cannot use the same move in a row.|\N
Toxic|Poison|\N|90|10|Badly poisons opponent.|\N
Toxic Spikes|Poison|\N|\N|20|Poisons opponents when they switch into battle.|\N
Toxic Thread|Poison|\N|100|20|The user shoots poisonous threads to poison the target and lower the target's Speed stat.|\N
Transform|Normal|\N|\N|10|User takes on the form and attacks of the opponent.|\N
Tri Attack|Normal|80|100|10|May paralyze, burn or freeze opponent.|20
Trick|Psychic|\N|100|10|Swaps held items with the opponent.|\N
Trick Room|Psychic|\N|\N|5|Slower Pokémon move first in the turn for 5 turns.|\N
Trick-or-Treat|Ghost|\N|100|20|Adds Ghost type to opponent.|\N
Triple Kick|Fighting|10|90|10|Hits thrice in one turn at increasing power.|\N
Trop Kick|Grass|70|100|15|Lowers opponent's Attack.|\N
Trump Card|Normal|\N|∞|5|The lower the PP, the higher the power.|\N
Twineedle|Bug|25|100|20|Hits twice in one turn. May poison opponent.|20
Twinkle Tackle|Fairy|\N|\N|1|Fairy type Z-Move.|\N
Twister|Dragon|40|100|20|May cause flinching. Hits Pokémon using Fly/Bounce with double power.|20
U-turn|Bug|70|100|20|User switches out immediately after attacking.|\N
Uproar|Normal|90|100|10|User attacks for 3 turns and prevents sleep.|\N
V-create|Fire|180|95|5|Lowers user's Defense, Special Defense and Speed.|100
Vacuum Wave|Fighting|40|100|30|User attacks first.|\N
Veevee Volley|Normal|\N|∞|20|Power increases when player's bond is stronger.|\N
Venom Drench|Poison|\N|100|20|Lowers poisoned opponent's Special Attack and Speed.|\N
Venoshock|Poison|65|100|10|Inflicts double damage if the target is poisoned.|\N
Vice Grip|Normal|55|100|30|\N|\N
Vine Whip|Grass|45|100|25|\N|\N
Vital Throw|Fighting|70|∞|10|User attacks last, but ignores Accuracy and Evasiveness.|\N
Volt Switch|Electric|70|100|20|User must switch out after attacking.|\N
Volt Tackle|Electric|120|100|15|User receives recoil damage. May paralyze opponent.|10
Wake-Up Slap|Fighting|70|100|10|Power doubles if opponent is asleep, but wakes it up.|\N
Water Gun|Water|40|100|25|\N|\N
Water Pledge|Water|80|100|10|Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.|\N
Water Pulse|Water|60|100|20|May confuse opponent.|20
Water Shuriken|Water|15|100|20|Hits 2-5 times in one turn.|\N
Water Sport|Water|\N|\N|15|Weakens the power of Fire-type moves.|\N
Water Spout|Water|150|100|5|The higher the user's HP, the higher the damage caused.|\N
Waterfall|Water|80|100|15|May cause flinching.|20
Weather Ball|Normal|50|100|10|Move's power and type changes with the weather.|\N
Whirlpool|Water|35|85|15|Traps opponent, damaging them for 4-5 turns.|\N
Whirlwind|Normal|\N|\N|20|In battles, the opponent switches. In the wild, the Pokémon runs.|\N
Wide Guard|Rock|\N|\N|10|Protects the user's team from multi-target attacks.|\N
Wild Charge|Electric|90|100|15|User receives recoil damage.|\N
Will-O-Wisp|Fire|\N|85|15|Burns opponent.|100
Wing Attack|Flying|60|100|35|\N|\N
Wish|Normal|\N|\N|10|The user recovers HP in the following turn.|\N
Withdraw|Water|\N|\N|40|Raises user's Defense.|\N
Wonder Room|Psychic|\N|\N|10|Swaps every Pokémon's Defense and Special Defense for 5 turns.|\N
Wood Hammer|Grass|120|100|15|User receives recoil damage.|\N
Work Up|Normal|\N|\N|30|Raises user's Attack and Special Attack.|\N
Worry Seed|Grass|\N|100|10|Changes the opponent's Ability to Insomnia.|\N
Wrap|Normal|15|90|20|Traps opponent, damaging them for 4-5 turns.|\N
Wring Out|Normal|\N|100|5|The higher the opponent's HP, the higher the damage.|\N
X-Scissor|Bug|80|100|15|\N|\N
Yawn|Normal|\N|\N|10|Puts opponent to sleep in the next turn.|\N
Zap Cannon|Electric|120|50|5|Paralyzes opponent.|100
Zen Headbutt|Psychic|80|90|15|May cause flinching.|20
Zing Zap|Electric|80|100|10|A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.|\N
Zippy Zap|Electric|50|100|15|High critical-hit ratio.|\N
